date_key,site_key,product_key,input_volume_m3,output_volume_m3,downtime_hours,shift_hours,energy_kwh
20240101,3,1,667.1,567.0,0.98,24,886.8
20240102,3,1,639.4,543.4,0.35,24,758.72
20240103,3,1,704.0,598.4,0.41,24,874.96
20240104,3,1,663.6,564.0,0.61,24,874.31
20240105,3,1,648.7,551.4,0.62,24,824.91
20240106,3,1,709.3,602.9,1.58,24,925.01
20240107,3,1,672.9,572.0,0.97,24,756.13
20240108,3,1,643.0,546.5,1.95,24,873.31
20240109,3,1,706.6,600.6,0.45,24,858.14
20240110,3,1,686.9,583.8,0.99,24,851.42
20240111,3,1,750.2,637.7,0.63,24,993.4
20240112,3,1,752.8,639.9,1.08,24,949.96
20240113,3,1,691.4,587.7,0.59,24,881.52
20240114,3,1,722.7,614.3,0.72,24,949.15
20240115,3,1,729.4,620.0,1.13,24,890.57
20240116,3,1,665.7,565.8,1.12,24,805.97
20240117,3,1,720.4,612.3,1.31,24,884.85
20240118,3,1,735.6,625.3,0.38,24,1062.15
20240119,3,1,678.6,576.8,0.96,24,831.05
20240120,3,1,736.1,625.7,0.48,24,1069.1
20240121,3,1,737.5,626.9,1.1,24,917.43
20240122,3,1,718.7,610.9,0.64,24,827.79
20240123,3,1,608.9,517.6,0.34,24,778.67
20240124,3,1,797.5,677.9,0.26,24,975.86
20240125,3,1,801.3,681.1,0.82,24,1062.03
20240126,3,1,689.8,586.3,0.8,24,872.01
20240127,3,1,715.6,608.3,0.87,24,983.97
20240128,3,1,723.0,614.5,0.85,24,1001.11
20240129,3,1,695.7,591.3,0.35,24,905.62
20240130,3,1,723.6,615.1,0.9,24,895.71
20240131,3,1,752.8,639.9,1.48,24,868.25
20240201,3,1,792.6,673.7,1.28,24,984.06
20240202,3,1,663.4,563.9,0.52,24,966.71
20240203,3,1,709.7,603.2,1.44,24,1012.43
20240204,3,1,644.6,547.9,0.29,24,826.78
20240205,3,1,708.3,602.1,1.67,24,899.95
20240206,3,1,673.3,572.3,0.34,24,850.25
20240207,3,1,776.9,660.4,1.41,24,977.53
20240208,3,1,706.1,600.2,0.6,24,984.01
20240209,3,1,643.1,546.6,1.48,24,769.47
20240210,3,1,722.7,614.3,1.72,24,958.45
20240211,3,1,859.3,730.4,2.44,24,1091.59
20240212,3,1,765.6,650.8,1.48,24,896.89
20240213,3,1,718.7,610.9,0.68,24,926.78
20240214,3,1,759.7,645.8,0.99,24,958.3
20240215,3,1,763.0,648.5,0.0,24,1031.19
20240216,3,1,688.1,584.9,0.81,24,854.69
20240217,3,1,751.3,638.6,1.13,24,822.69
20240218,3,1,866.2,736.2,0.56,24,1061.81
20240219,3,1,668.4,568.1,1.79,24,844.75
20240220,3,1,645.8,548.9,0.59,24,776.43
20240221,3,1,733.6,623.6,1.85,24,965.96
20240222,3,1,817.8,695.1,0.87,24,1022.71
20240223,3,1,681.1,579.0,0.78,24,958.5
20240224,3,1,796.3,676.8,1.46,24,1055.1
20240225,3,1,679.6,577.7,0.39,24,908.86
20240226,3,1,771.2,655.5,1.56,24,1007.97
20240227,3,1,741.2,630.1,0.52,24,994.28
20240228,3,1,675.6,574.3,0.95,24,825.75
20240229,3,1,646.9,549.9,1.49,24,809.81
20240301,3,1,661.4,562.2,6.7,24,864.57
20240302,3,1,640.2,544.2,1.03,24,872.91
20240303,3,1,602.5,512.1,1.09,24,860.17
20240304,3,1,598.6,508.8,0.98,24,791.34
20240305,3,1,509.3,432.9,0.11,24,638.48
20240306,3,1,570.6,485.0,5.42,24,764.61
20240307,3,1,582.3,495.0,0.29,24,691.59
20240308,3,1,624.7,531.0,0.63,24,786.79
20240309,3,1,671.4,570.7,1.34,24,844.35
20240310,3,1,557.3,473.7,0.93,24,654.14
20240311,3,1,629.9,535.4,0.79,24,817.54
20240312,3,1,608.8,517.5,0.4,24,794.41
20240313,3,1,654.9,556.7,0.96,24,868.32
20240314,3,1,614.3,522.2,1.2,24,758.21
20240315,3,1,587.6,499.4,1.19,24,822.82
20240316,3,1,511.2,434.5,1.21,24,664.18
20240317,3,1,521.2,443.0,1.01,24,711.73
20240318,3,1,592.4,503.5,1.21,24,722.51
20240319,3,1,669.4,569.0,2.08,24,807.55
20240320,3,1,584.9,497.2,1.26,24,751.81
20240321,3,1,581.4,494.2,1.64,24,745.92
20240322,3,1,715.3,608.0,0.6,24,922.68
20240323,3,1,522.3,443.9,0.18,24,668.38
20240324,3,1,580.0,493.0,0.7,24,700.69
20240325,3,1,694.3,590.1,0.89,24,786.89
20240326,3,1,564.0,479.4,0.71,24,747.74
20240327,3,1,598.8,509.0,1.32,24,761.3
20240328,3,1,618.0,525.3,1.99,24,763.06
20240329,3,1,611.5,519.8,0.62,24,848.65
20240330,3,1,666.8,566.8,1.72,24,797.44
20240331,3,1,706.1,600.2,0.16,24,818.96
20240401,3,1,575.5,489.2,1.62,24,759.36
20240402,3,1,528.7,449.4,1.25,24,780.66
20240403,3,1,655.3,557.0,1.3,24,830.92
20240404,3,1,553.9,470.8,1.05,24,669.21
20240405,3,1,681.0,578.8,1.35,24,817.96
20240406,3,1,639.4,543.5,0.9,24,803.46
20240407,3,1,592.0,503.2,0.08,24,766.02
20240408,3,1,686.9,583.9,0.65,24,960.75
