order_id,order_date_key,ship_date_key,delivery_date_key,customer_key,product_key,site_key,qty_m3,on_time_flag,in_full_flag
ORD100000,20251127,20251203,20251208,1,3,6,46.3,1,1
ORD100001,20250110,20250116,20250131,4,6,6,51.9,0,1
ORD100002,20250721,20250724,20250813,4,1,5,45.1,0,0
ORD100003,20240622,20240626,20240705,4,1,5,50.6,1,1
ORD100004,20240810,20240812,20240818,4,1,5,50.0,1,1
ORD100005,20250913,20250919,20250927,1,3,6,44.7,1,1
ORD100006,20240714,20240716,20240804,5,4,6,59.1,0,1
ORD100007,20240318,20240321,20240402,2,2,5,54.8,0,1
ORD100008,20240614,20240618,20240628,5,1,5,46.6,1,1
ORD100009,20240320,20240321,20240327,3,2,6,61.0,1,1
ORD100010,20250926,20250927,20251004,3,4,6,55.8,1,1
ORD100011,20240906,20240913,20240930,3,1,5,40.5,0,1
ORD100012,20240619,20240624,20240707,1,6,5,51.9,0,1
ORD100013,20250207,20250209,20250224,1,4,6,54.1,0,1
ORD100014,20251226,20260102,20260118,2,3,5,50.6,0,1
ORD100015,20241028,20241031,20241106,1,6,5,52.6,1,1
ORD100016,20250709,20250713,20250717,2,3,5,38.6,1,1
ORD100017,20240626,20240701,20240704,2,4,5,31.9,1,1
ORD100018,20250824,20250825,20250830,3,2,5,50.6,1,1
ORD100019,20250414,20250418,20250502,4,1,6,60.7,0,1
ORD100020,20251213,20251216,20260105,3,4,6,48.0,0,1
ORD100021,20240904,20240910,20240917,2,3,5,59.6,1,1
ORD100022,20250119,20250120,20250126,3,2,5,63.4,1,1
ORD100023,20250904,20250911,20250915,3,4,6,64.6,1,1
ORD100024,20240419,20240420,20240427,3,1,6,58.2,1,1
ORD100025,20241006,20241011,20241025,4,5,6,47.0,0,0
ORD100026,20251017,20251023,20251106,4,3,6,47.3,0,1
ORD100027,20250531,20250601,20250614,4,2,6,54.9,0,1
ORD100028,20241019,20241022,20241106,4,3,6,64.7,0,1
ORD100029,20240326,20240401,20240408,3,4,6,45.7,1,1
ORD100030,20251205,20251209,20251226,2,4,6,47.1,0,1
ORD100031,20250506,20250512,20250522,5,4,6,44.5,1,1
ORD100032,20250519,20250526,20250613,4,4,6,69.6,0,1
ORD100033,20250819,20250826,20250829,1,6,5,55.8,1,0
ORD100034,20251130,20251204,20251208,3,1,6,68.7,1,1
ORD100035,20240807,20240808,20240823,1,2,5,42.9,0,1
ORD100036,20240613,20240615,20240630,4,4,6,43.4,0,1
ORD100037,20250813,20250820,20250901,5,1,6,51.7,0,1
ORD100038,20240330,20240403,20240421,4,6,6,69.5,0,1
ORD100039,20241011,20241017,20241102,3,3,6,48.3,0,1
ORD100040,20241101,20241102,20241108,5,5,5,68.1,1,1
ORD100041,20250107,20250109,20250120,2,2,5,42.4,0,1
ORD100042,20251209,20251211,20251217,2,5,5,47.3,1,1
ORD100043,20241227,20241228,20250110,1,1,6,38.9,0,1
ORD100044,20250816,20250821,20250909,4,5,6,43.7,0,1
ORD100045,20250823,20250829,20250906,1,1,6,61.2,1,1
ORD100046,20241002,20241004,20241017,2,2,6,57.6,0,1
ORD100047,20240525,20240531,20240618,3,5,5,63.9,0,1
ORD100048,20250918,20250921,20250928,1,5,6,40.0,1,1
ORD100049,20250519,20250526,20250615,1,5,5,43.0,0,1
ORD100050,20240621,20240625,20240712,3,4,5,56.4,0,1
ORD100051,20250221,20250222,20250306,1,1,6,57.4,0,1
ORD100052,20250206,20250208,20250215,2,6,5,43.6,1,1
ORD100053,20240622,20240626,20240705,5,2,6,43.1,1,0
ORD100054,20250221,20250223,20250227,1,5,6,46.6,1,1
ORD100055,20240204,20240205,20240208,3,3,6,44.1,1,1
ORD100056,20251121,20251124,20251205,3,1,6,34.2,0,1
ORD100057,20240801,20240802,20240821,5,5,5,60.7,0,1
ORD100058,20240515,20240517,20240522,3,5,6,41.7,1,1
ORD100059,20240327,20240401,20240416,1,2,5,55.0,0,1
ORD100060,20240528,20240603,20240617,3,2,5,68.6,0,1
ORD100061,20250817,20250822,20250909,2,4,5,33.1,0,1
ORD100062,20250414,20250418,20250505,2,6,6,66.6,0,1
ORD100063,20240713,20240717,20240724,3,6,5,60.1,1,1
ORD100064,20240831,20240904,20240922,1,6,6,63.1,0,1
ORD100065,20250124,20250127,20250213,4,2,6,38.9,0,1
ORD100066,20241109,20241112,20241118,5,6,5,47.7,1,1
ORD100067,20240803,20240805,20240823,5,3,5,51.9,0,1
ORD100068,20250628,20250704,20250720,4,6,6,46.6,0,1
ORD100069,20240215,20240220,20240307,2,1,5,57.3,0,1
ORD100070,20251016,20251021,20251105,5,6,6,50.8,0,1
ORD100071,20240105,20240111,20240123,1,2,6,36.6,0,1
ORD100072,20250825,20250829,20250912,4,1,5,52.7,0,1
ORD100073,20250825,20250828,20250831,1,6,5,54.1,1,1
ORD100074,20251214,20251215,20251229,1,4,6,52.0,0,1
ORD100075,20251020,20251026,20251104,4,3,6,64.2,1,1
ORD100076,20251001,20251006,20251011,1,2,5,43.4,1,1
ORD100077,20241230,20250102,20250111,1,4,5,60.2,1,1
ORD100078,20240917,20240920,20241010,5,3,6,45.6,0,1
ORD100079,20240418,20240420,20240424,4,6,6,36.2,1,1
ORD100080,20240112,20240114,20240117,2,4,5,41.3,1,1
ORD100081,20250328,20250331,20250409,1,4,6,40.6,1,1
ORD100082,20250310,20250314,20250402,2,3,5,44.3,0,0
ORD100083,20240901,20240906,20240926,5,5,5,48.3,0,1
ORD100084,20240205,20240209,20240222,3,2,5,48.7,0,1
ORD100085,20240608,20240611,20240623,4,5,5,56.8,0,1
ORD100086,20250903,20250907,20250926,2,3,5,37.6,0,0
ORD100087,20241203,20241207,20241222,1,2,6,70.2,0,1
ORD100088,20250422,20250424,20250503,1,3,5,58.6,1,1
ORD100089,20240523,20240525,20240611,2,3,6,37.7,0,1
ORD100090,20240730,20240805,20240815,1,5,5,58.5,1,1
ORD100091,20250321,20250326,20250405,5,6,5,58.0,1,1
ORD100092,20250817,20250819,20250904,4,6,6,41.1,0,1
ORD100093,20240609,20240611,20240701,5,3,5,36.6,0,1
ORD100094,20241116,20241121,20241124,3,6,6,38.6,1,1
ORD100095,20241214,20241220,20241226,4,6,6,47.2,1,1
ORD100096,20240904,20240910,20240913,1,4,5,36.2,1,1
ORD100097,20250503,20250508,20250526,5,5,5,58.0,0,1
ORD100098,20251021,20251027,20251107,5,6,6,49.5,0,1
ORD100099,20250423,20250426,20250502,5,2,6,46.0,1,1
ORD100100,20250520,20250522,20250609,1,3,5,45.6,0,1
ORD100101,20250918,20250925,20251015,2,6,5,59.4,0,1
ORD100102,20240616,20240617,20240622,2,6,5,56.8,1,1
ORD100103,20250827,20250829,20250903,3,4,6,46.5,1,1
ORD100104,20240330,20240406,20240420,4,1,6,52.6,0,1
ORD100105,20240429,20240503,20240510,2,1,5,50.7,1,1
ORD100106,20240730,20240731,20240814,5,5,5,47.0,0,1
ORD100107,20241128,20241201,20241215,4,5,5,55.4,0,1
ORD100108,20240209,20240214,20240225,5,1,5,49.1,0,1
ORD100109,20241216,20241218,20250102,5,6,5,43.5,0,1
ORD100110,20241119,20241122,20241209,1,2,6,48.9,0,1
ORD100111,20240529,20240603,20240611,2,5,6,60.8,1,1
ORD100112,20240209,20240214,20240220,4,2,5,54.2,1,1
ORD100113,20240325,20240330,20240419,3,5,6,45.6,0,1
ORD100114,20240202,20240205,20240213,5,6,5,43.2,1,1
ORD100115,20240120,20240124,20240129,1,2,5,47.9,1,1
ORD100116,20250614,20250621,20250709,1,4,5,39.1,0,1
