date,month,year,site_name,product_name,input_volume_m3,output_volume_m3,downtime_hours,energy_kwh,yield_pct
2024-01-01,1,2024,Mill A,Log A28,667.1,567.0,0.98,886.8,0.8499475341028331
2024-01-02,1,2024,Mill A,Log A28,639.4,543.4,0.35,758.72,0.8498592430403503
2024-01-03,1,2024,Mill A,Log A28,704.0,598.4,0.41,874.96,0.85
2024-01-04,1,2024,Mill A,Log A28,663.6,564.0,0.61,874.31,0.8499095840867993
2024-01-05,1,2024,Mill A,Log A28,648.7,551.4,0.62,824.91,0.8500077077231385
2024-01-06,1,2024,Mill A,Log A28,709.3,602.9,1.58,925.01,0.84999295079656
2024-01-07,1,2024,Mill A,Log A28,672.9,572.0,0.97,756.13,0.8500520136721653
2024-01-08,1,2024,Mill A,Log A28,643.0,546.5,1.95,873.31,0.8499222395023328
2024-01-09,1,2024,Mill A,Log A28,706.6,600.6,0.45,858.14,0.8499858477214831
2024-01-10,1,2024,Mill A,Log A28,686.9,583.8,0.99,851.42,0.8499053719609841
2024-01-11,1,2024,Mill A,Log A28,750.2,637.7,0.63,993.4,0.8500399893361771
2024-01-12,1,2024,Mill A,Log A28,752.8,639.9,1.08,949.96,0.8500265674814028
2024-01-13,1,2024,Mill A,Log A28,691.4,587.7,0.59,881.52,0.8500144634075789
2024-01-14,1,2024,Mill A,Log A28,722.7,614.3,0.72,949.15,0.850006918500069
2024-01-15,1,2024,Mill A,Log A28,729.4,620.0,1.13,890.57,0.8500137098985467
2024-01-16,1,2024,Mill A,Log A28,665.7,565.8,1.12,805.97,0.849932401982875
2024-01-17,1,2024,Mill A,Log A28,720.4,612.3,1.31,884.85,0.8499444752915046
2024-01-18,1,2024,Mill A,Log A28,735.6,625.3,0.38,1062.15,0.8500543773790102
2024-01-19,1,2024,Mill A,Log A28,678.6,576.8,0.96,831.05,0.8499852637783671
2024-01-20,1,2024,Mill A,Log A28,736.1,625.7,0.48,1069.1,0.850020377666078
2024-01-21,1,2024,Mill A,Log A28,737.5,626.9,1.1,917.43,0.8500338983050847
2024-01-22,1,2024,Mill A,Log A28,718.7,610.9,0.64,827.79,0.8500069570057046
2024-01-23,1,2024,Mill A,Log A28,608.9,517.6,0.34,778.67,0.850057480702907
2024-01-24,1,2024,Mill A,Log A28,797.5,677.9,0.26,975.86,0.8500313479623824
2024-01-25,1,2024,Mill A,Log A28,801.3,681.1,0.82,1062.03,0.8499937601397729
2024-01-26,1,2024,Mill A,Log A28,689.8,586.3,0.8,872.01,0.8499565091330821
2024-01-27,1,2024,Mill A,Log A28,715.6,608.3,0.87,983.97,0.8500558971492453
2024-01-28,1,2024,Mill A,Log A28,723.0,614.5,0.85,1001.11,0.8499308437067773
2024-01-29,1,2024,Mill A,Log A28,695.7,591.3,0.35,905.62,0.8499353169469598
2024-01-30,1,2024,Mill A,Log A28,723.6,615.1,0.9,895.71,0.8500552791597568
2024-01-31,1,2024,Mill A,Log A28,752.8,639.9,1.48,868.25,0.8500265674814028
2024-02-01,2,2024,Mill A,Log A28,792.6,673.7,1.28,984.06,0.8499873832954833
2024-02-02,2,2024,Mill A,Log A28,663.4,563.9,0.52,966.71,0.8500150738619234
2024-02-03,2,2024,Mill A,Log A28,709.7,603.2,1.44,1012.43,0.8499365929265887
2024-02-04,2,2024,Mill A,Log A28,644.6,547.9,0.29,826.78,0.8499844865032578
2024-02-05,2,2024,Mill A,Log A28,708.3,602.1,1.67,899.95,0.8500635324015249
2024-02-06,2,2024,Mill A,Log A28,673.3,572.3,0.34,850.25,0.8499925738897965
2024-02-07,2,2024,Mill A,Log A28,776.9,660.4,1.41,977.53,0.8500450508430943
2024-02-08,2,2024,Mill A,Log A28,706.1,600.2,0.6,984.01,0.8500212434499363
2024-02-09,2,2024,Mill A,Log A28,643.1,546.6,1.48,769.47,0.8499455761156897
2024-02-10,2,2024,Mill A,Log A28,722.7,614.3,1.72,958.45,0.850006918500069
2024-02-11,2,2024,Mill A,Log A28,859.3,730.4,2.44,1091.59,0.849994181310369
2024-02-12,2,2024,Mill A,Log A28,765.6,650.8,1.48,896.89,0.8500522466039706
2024-02-13,2,2024,Mill A,Log A28,718.7,610.9,0.68,926.78,0.8500069570057046
2024-02-14,2,2024,Mill A,Log A28,759.7,645.8,0.99,958.3,0.8500723969988152
2024-02-15,2,2024,Mill A,Log A28,763.0,648.5,0.0,1031.19,0.8499344692005243
2024-02-16,2,2024,Mill A,Log A28,688.1,584.9,0.81,854.69,0.8500217991570992
2024-02-17,2,2024,Mill A,Log A28,751.3,638.6,1.13,822.69,0.849993344868894
2024-02-18,2,2024,Mill A,Log A28,866.2,736.2,0.56,1061.81,0.8499191872546756
2024-02-19,2,2024,Mill A,Log A28,668.4,568.1,1.79,844.75,0.8499401555954519
2024-02-20,2,2024,Mill A,Log A28,645.8,548.9,0.59,776.43,0.8499535459894705
2024-02-21,2,2024,Mill A,Log A28,733.6,623.6,1.85,965.96,0.8500545256270448
2024-02-22,2,2024,Mill A,Log A28,817.8,695.1,0.87,1022.71,0.8499633162142334
2024-02-23,2,2024,Mill A,Log A28,681.1,579.0,0.78,958.5,0.850095433856996
2024-02-24,2,2024,Mill A,Log A28,796.3,676.8,1.46,1055.1,0.8499309305538114
2024-02-25,2,2024,Mill A,Log A28,679.6,577.7,0.39,908.86,0.8500588581518541
2024-02-26,2,2024,Mill A,Log A28,771.2,655.5,1.56,1007.97,0.8499740663900415
2024-02-27,2,2024,Mill A,Log A28,741.2,630.1,0.52,994.28,0.8501079330814895
2024-02-28,2,2024,Mill A,Log A28,675.6,574.3,0.95,825.75,0.8500592066311425
2024-02-29,2,2024,Mill A,Log A28,646.9,549.9,1.49,809.81,0.8500541041892101
2024-03-01,3,2024,Mill A,Log A28,661.4,562.2,6.7,864.57,0.8500151194436045
2024-03-02,3,2024,Mill A,Log A28,640.2,544.2,1.03,872.91,0.8500468603561387
2024-03-03,3,2024,Mill A,Log A28,602.5,512.1,1.09,860.17,0.8499585062240664
2024-03-04,3,2024,Mill A,Log A28,598.6,508.8,0.98,791.34,0.8499832943534915
2024-03-05,3,2024,Mill A,Log A28,509.3,432.9,0.11,638.48,0.8499901826035735
2024-03-06,3,2024,Mill A,Log A28,570.6,485.0,5.42,764.61,0.8499824745881528
2024-03-07,3,2024,Mill A,Log A28,582.3,495.0,0.29,691.59,0.8500772797527049
2024-03-08,3,2024,Mill A,Log A28,624.7,531.0,0.63,786.79,0.850008003841844
2024-03-09,3,2024,Mill A,Log A28,671.4,570.7,1.34,844.35,0.8500148942508193
2024-03-10,3,2024,Mill A,Log A28,557.3,473.7,0.93,654.14,0.8499910281715414
2024-03-11,3,2024,Mill A,Log A28,629.9,535.4,0.79,817.54,0.849976186696301
2024-03-12,3,2024,Mill A,Log A28,608.8,517.5,0.4,794.41,0.8500328515111696
2024-03-13,3,2024,Mill A,Log A28,654.9,556.7,0.96,868.32,0.8500534432737824
2024-03-14,3,2024,Mill A,Log A28,614.3,522.2,1.2,758.21,0.8500732541103697
2024-03-15,3,2024,Mill A,Log A28,587.6,499.4,1.19,822.82,0.8498978897208985
