order_id,order_date,ship_date,delivery_date,customer_name,product_name,site_name,qty_m3,on_time_flag,in_full_flag,otif_flag,lead_time_days
ORD100000,2025-11-27,2025-12-03,2025-12-08,NZ Timber Co,Timber Premium,Auckland Port,46.3,1,1,1,11
ORD100001,2025-01-10,2025-01-16,2025-01-31,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,51.9,0,1,0,21
ORD100002,2025-07-21,2025-07-24,2025-08-13,Shanghai Wood Corp,Log A28,Napier Port,45.1,0,0,0,23
ORD100003,2024-06-22,2024-06-26,2024-07-05,Shanghai Wood Corp,Log A28,Napier Port,50.6,1,1,1,13
ORD100004,2024-08-10,2024-08-12,2024-08-18,Shanghai Wood Corp,Log A28,Napier Port,50.0,1,1,1,8
ORD100005,2025-09-13,2025-09-19,2025-09-27,NZ Timber Co,Timber Premium,Auckland Port,44.7,1,1,1,14
ORD100006,2024-07-14,2024-07-16,2024-08-04,Tokyo Timber Group,Timber Standard,Auckland Port,59.1,0,1,0,21
ORD100007,2024-03-18,2024-03-21,2024-04-02,HB Lumber Ltd,Log B22,Napier Port,54.8,0,1,0,15
ORD100008,2024-06-14,2024-06-18,2024-06-28,Tokyo Timber Group,Log A28,Napier Port,46.6,1,1,1,14
ORD100009,2024-03-20,2024-03-21,2024-03-27,Saigon Builders,Log B22,Auckland Port,61.0,1,1,1,7
ORD100010,2025-09-26,2025-09-27,2025-10-04,Saigon Builders,Timber Standard,Auckland Port,55.8,1,1,1,8
ORD100011,2024-09-06,2024-09-13,2024-09-30,Saigon Builders,Log A28,Napier Port,40.5,0,1,0,24
ORD100012,2024-06-19,2024-06-24,2024-07-07,NZ Timber Co,Pulp Low Grade,Napier Port,51.9,0,1,0,18
ORD100013,2025-02-07,2025-02-09,2025-02-24,NZ Timber Co,Timber Standard,Auckland Port,54.1,0,1,0,17
ORD100015,2024-10-28,2024-10-31,2024-11-06,NZ Timber Co,Pulp Low Grade,Napier Port,52.6,1,1,1,9
ORD100016,2025-07-09,2025-07-13,2025-07-17,HB Lumber Ltd,Timber Premium,Napier Port,38.6,1,1,1,8
ORD100017,2024-06-26,2024-07-01,2024-07-04,HB Lumber Ltd,Timber Standard,Napier Port,31.9,1,1,1,8
ORD100018,2025-08-24,2025-08-25,2025-08-30,Saigon Builders,Log B22,Napier Port,50.6,1,1,1,6
ORD100019,2025-04-14,2025-04-18,2025-05-02,Shanghai Wood Corp,Log A28,Auckland Port,60.7,0,1,0,18
ORD100021,2024-09-04,2024-09-10,2024-09-17,HB Lumber Ltd,Timber Premium,Napier Port,59.6,1,1,1,13
ORD100022,2025-01-19,2025-01-20,2025-01-26,Saigon Builders,Log B22,Napier Port,63.4,1,1,1,7
ORD100023,2025-09-04,2025-09-11,2025-09-15,Saigon Builders,Timber Standard,Auckland Port,64.6,1,1,1,11
ORD100024,2024-04-19,2024-04-20,2024-04-27,Saigon Builders,Log A28,Auckland Port,58.2,1,1,1,8
ORD100025,2024-10-06,2024-10-11,2024-10-25,Shanghai Wood Corp,Pulp High Grade,Auckland Port,47.0,0,0,0,19
ORD100026,2025-10-17,2025-10-23,2025-11-06,Shanghai Wood Corp,Timber Premium,Auckland Port,47.3,0,1,0,20
ORD100027,2025-05-31,2025-06-01,2025-06-14,Shanghai Wood Corp,Log B22,Auckland Port,54.9,0,1,0,14
ORD100028,2024-10-19,2024-10-22,2024-11-06,Shanghai Wood Corp,Timber Premium,Auckland Port,64.7,0,1,0,18
ORD100029,2024-03-26,2024-04-01,2024-04-08,Saigon Builders,Timber Standard,Auckland Port,45.7,1,1,1,13
ORD100030,2025-12-05,2025-12-09,2025-12-26,HB Lumber Ltd,Timber Standard,Auckland Port,47.1,0,1,0,21
ORD100031,2025-05-06,2025-05-12,2025-05-22,Tokyo Timber Group,Timber Standard,Auckland Port,44.5,1,1,1,16
ORD100032,2025-05-19,2025-05-26,2025-06-13,Shanghai Wood Corp,Timber Standard,Auckland Port,69.6,0,1,0,25
ORD100033,2025-08-19,2025-08-26,2025-08-29,NZ Timber Co,Pulp Low Grade,Napier Port,55.8,1,0,0,10
ORD100034,2025-11-30,2025-12-04,2025-12-08,Saigon Builders,Log A28,Auckland Port,68.7,1,1,1,8
ORD100035,2024-08-07,2024-08-08,2024-08-23,NZ Timber Co,Log B22,Napier Port,42.9,0,1,0,16
ORD100036,2024-06-13,2024-06-15,2024-06-30,Shanghai Wood Corp,Timber Standard,Auckland Port,43.4,0,1,0,17
ORD100037,2025-08-13,2025-08-20,2025-09-01,Tokyo Timber Group,Log A28,Auckland Port,51.7,0,1,0,19
ORD100038,2024-03-30,2024-04-03,2024-04-21,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,69.5,0,1,0,22
ORD100039,2024-10-11,2024-10-17,2024-11-02,Saigon Builders,Timber Premium,Auckland Port,48.3,0,1,0,22
ORD100040,2024-11-01,2024-11-02,2024-11-08,Tokyo Timber Group,Pulp High Grade,Napier Port,68.1,1,1,1,7
ORD100041,2025-01-07,2025-01-09,2025-01-20,HB Lumber Ltd,Log B22,Napier Port,42.4,0,1,0,13
ORD100042,2025-12-09,2025-12-11,2025-12-17,HB Lumber Ltd,Pulp High Grade,Napier Port,47.3,1,1,1,8
ORD100043,2024-12-27,2024-12-28,2025-01-10,NZ Timber Co,Log A28,Auckland Port,38.9,0,1,0,14
ORD100044,2025-08-16,2025-08-21,2025-09-09,Shanghai Wood Corp,Pulp High Grade,Auckland Port,43.7,0,1,0,24
ORD100045,2025-08-23,2025-08-29,2025-09-06,NZ Timber Co,Log A28,Auckland Port,61.2,1,1,1,14
ORD100046,2024-10-02,2024-10-04,2024-10-17,HB Lumber Ltd,Log B22,Auckland Port,57.6,0,1,0,15
ORD100047,2024-05-25,2024-05-31,2024-06-18,Saigon Builders,Pulp High Grade,Napier Port,63.9,0,1,0,24
ORD100048,2025-09-18,2025-09-21,2025-09-28,NZ Timber Co,Pulp High Grade,Auckland Port,40.0,1,1,1,10
ORD100049,2025-05-19,2025-05-26,2025-06-15,NZ Timber Co,Pulp High Grade,Napier Port,43.0,0,1,0,27
